arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
ARM,128,64,1024,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
ARM,32,64,1024,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
ARM,128,32,256,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
ARM,32,64,1024,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
ARM,32,64,256,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
ARM,32,64,128,1000000,80,0.058573,58573433000,39188736,42408450,19239367,1831,39188253,545,5025,1236,1.494647,0.669054
x86,32,64,128,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
ARM,128,32,128,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
RISCV,32,128,1024,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
RISCV,128,32,128,1000000,10,0.000870,870135000,520012,520861,177118,502,635285,426,742,834,1.673131,0.597682
RISCV,128,128,1024,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
x86,64,128,128,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
RISCV,32,32,256,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
x86,128,64,1024,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
x86,32,128,128,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
RISCV,128,64,256,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
x86,128,64,512,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
x86,32,128,512,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
x86,32,32,1024,1000000,20,0.002938,2937512000,1702355,2922286,664076,378,2193632,679,668,1078,1.725472,0.579552
ARM,32,32,512,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
x86,64,128,256,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,64,32,256,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
x86,32,64,512,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
RISCV,32,64,256,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
RISCV,64,32,256,1000000,40,0.014098,14098485000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,32,64,512,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
ARM,64,64,1024,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
ARM,64,128,1024,1000000,40,0.010420,10420168000,7021893,7837955,3299931,864,7021385,540,817,1236,1.483948,0.673878
ARM,32,64,128,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
RISCV,128,32,128,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
x86,128,128,256,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,64,64,1024,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
RISCV,64,64,1024,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
RISCV,32,64,1024,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
RISCV,64,32,512,1000000,80,0.076588,76588057000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
